gamma,val_accuracy,val_f1,val_fpr_AAE,val_fpr_SAE,val_fpr_gap,val_fnr_AAE,val_fnr_SAE,val_fnr_gap,test_accuracy,test_f1,test_fpr_AAE,test_fpr_SAE,test_fpr_gap,test_fnr_AAE,test_fnr_SAE,test_fnr_gap
0.0,0.8374699759807847,0.8334700574241182,0.2222222222222222,0.13400335008375208,0.08821887213847013,0.08602150537634409,0.23006833712984054,0.14404683175349645,0.8286629303442754,0.8260162601626017,0.37037037037037035,0.14715719063545152,0.22321317973491883,0.11290322580645161,0.21689497716894976,0.10399175136249815
0.02,0.844675740592474,0.8401976935749588,0.18518518518518517,0.12395309882747069,0.06123208635771449,0.08064516129032258,0.22779043280182232,0.14714527151149975,0.8270616493194556,0.8249594813614263,0.3333333333333333,0.15384615384615385,0.17948717948717946,0.10215053763440861,0.2191780821917808,0.1170275445573722
0.04,0.8430744595676541,0.8380165289256198,0.2222222222222222,0.12060301507537688,0.10161920714684533,0.08602150537634409,0.23234624145785876,0.14632473608151467,0.8270616493194556,0.8235294117647058,0.3333333333333333,0.1454849498327759,0.1878483835005574,0.11827956989247312,0.2237442922374429,0.10546472234496979
0.06,0.8478783026421137,0.8434925864909391,0.2222222222222222,0.11892797319932999,0.10329424902289222,0.08602150537634409,0.22095671981776766,0.13493521444142356,0.8318654923939152,0.8275862068965517,0.25925925925925924,0.13879598662207357,0.12046327263718568,0.12903225806451613,0.2191780821917808,0.09014582412726468
0.08,0.8502802241793435,0.8450704225352113,0.2222222222222222,0.11055276381909548,0.11166945840312673,0.08602150537634409,0.2255125284738041,0.13949102309746,0.8294635708566853,0.8258381030253475,0.37037037037037035,0.14046822742474915,0.2299021429456212,0.12365591397849462,0.2191780821917808,0.09552216821328618
0.1,0.8454763811048839,0.8419328419328419,0.25925925925925924,0.12562814070351758,0.13363111855574167,0.07526881720430108,0.22095671981776766,0.1456879026134666,0.8294635708566853,0.8264058679706602,0.3333333333333333,0.1454849498327759,0.1878483835005574,0.10215053763440861,0.2237442922374429,0.1215937546030343
0.12,0.8470776621297038,0.8422791081750619,0.2222222222222222,0.11725293132328309,0.10496929089893912,0.08602150537634409,0.2255125284738041,0.13949102309746,0.8270616493194556,0.824390243902439,0.37037037037037035,0.1488294314381271,0.22154093893224325,0.10752688172043011,0.22146118721461186,0.11393430549418175
0.14,0.8462770216172938,0.8421052631578947,0.2222222222222222,0.12227805695142378,0.09994416527079843,0.10215053763440861,0.214123006833713,0.11197246919930438,0.8286629303442754,0.8260162601626017,0.3333333333333333,0.1488294314381271,0.1845039018952062,0.12365591397849462,0.21232876712328766,0.08867285314479303
0.16,0.8406725380304243,0.8356729975227085,0.2222222222222222,0.12395309882747069,0.09826912339475152,0.08602150537634409,0.23462414578587698,0.1486026404095329,0.8358686949559647,0.8329258353708231,0.3333333333333333,0.13879598662207357,0.19453734671125975,0.13440860215053763,0.2009132420091324,0.06650463985859478
0.18,0.8486789431545236,0.8441879637262985,0.25925925925925924,0.11557788944723618,0.14368136981202306,0.08602150537634409,0.22095671981776766,0.13493521444142356,0.8342674139311449,0.8321167883211679,0.37037037037037035,0.14381270903010032,0.22655766134027003,0.11290322580645161,0.2054794520547945,0.0925762262483429
0.2,0.8470776621297038,0.8433141919606235,0.2222222222222222,0.12395309882747069,0.09826912339475152,0.08064516129032258,0.21867881548974943,0.13803365419942687,0.8262610088070457,0.8234336859235151,0.4074074074074074,0.14715719063545152,0.26025021677195587,0.11290322580645161,0.22146118721461186,0.10855796140816025
0.22,0.8430744595676541,0.8382838283828383,0.18518518518518517,0.12395309882747069,0.06123208635771449,0.0913978494623656,0.22779043280182232,0.13639258333945672,0.8350680544435548,0.8311475409836065,0.3333333333333333,0.13377926421404682,0.1995540691192865,0.10752688172043011,0.22146118721461186,0.11393430549418175
0.24,0.8478783026421137,0.8419301164725458,0.18518518518518517,0.11055276381909548,0.07463242136608969,0.08602150537634409,0.23462414578587698,0.1486026404095329,0.8286629303442754,0.8248772504091653,0.37037037037037035,0.14046822742474915,0.2299021429456212,0.11290322580645161,0.22602739726027396,0.11312417145382235
0.26,0.8414731785428343,0.8377049180327869,0.18518518518518517,0.1323283082077052,0.05285687697747998,0.08602150537634409,0.22323462414578588,0.13721311876944178,0.833466773418735,0.8306188925081434,0.37037037037037035,0.14046822742474915,0.2299021429456212,0.0967741935483871,0.2191780821917808,0.12240388864339372
0.28,0.8454763811048839,0.8419328419328419,0.2222222222222222,0.1273031825795645,0.09491903964265772,0.08064516129032258,0.21867881548974943,0.13803365419942687,0.8246597277822257,0.8197530864197531,0.37037037037037035,0.13879598662207357,0.23157438374829678,0.11827956989247312,0.2374429223744292,0.11916335248195609
0.3,0.8502802241793435,0.8450704225352113,0.18518518518518517,0.11222780569514237,0.0729573794900428,0.0967741935483871,0.22095671981776766,0.12418252626938056,0.8286629303442754,0.8260162601626017,0.4074074074074074,0.1454849498327759,0.2619224575746315,0.0913978494623656,0.22602739726027396,0.13462954779790837
